section_id,norm_multi_family_score,norm_single_family_score,norm_score,urban_parcel_classification,norm_optimal_housing_type,num_housing_units,municipality_name,district_name,comarca,lat,lon,cluster_sc,cluster_description,household_income_sc,multi_family_rental_ppm2_sc,multi_family_purchase_ppm2_percentile_sc,single_family_rental_ppm2_sc,single_family_purchase_ppm2_percentile_sc,office_analysis,office_rental_ppm2
820801001,18.09864668455109,19.6403223541316,19.6403223541316,Other,Single Family,40.0,Sant Esteve Sesrovires,Sant Esteve Sesrovires,Baix Llobregat,41.49070793,1.87507483,1,07 Peripheral Areas,55723.0,7.6,1524.108108,5.9,1395.1341463414635,Other,0.0
820801002,26.993751688737973,29.90258604880193,29.90258604880193,Other,Single Family,6.0,Sant Esteve Sesrovires,Sant Esteve Sesrovires,Baix Llobregat,41.49733583,1.871583114,1,07 Peripheral Areas,69248.0,7.9,1620.140541,8.3,2940.426829268293,Other,0.0
820801003,21.269852956677475,26.35648348862072,26.35648348862072,Other,Single Family,0.0,Sant Esteve Sesrovires,Sant Esteve Sesrovires,Baix Llobregat,41.50203733,1.858787829,1,07 Peripheral Areas,64729.0,8.233333333333334,1733.401802,6.7,1912.2235772357724,Other,0.0
820801004,25.27307500383943,25.338335312213,25.338335312213,Other,,0.0,Sant Esteve Sesrovires,Sant Esteve Sesrovires,Baix Llobregat,41.50350321,1.876873095,1,07 Peripheral Areas,63356.0,8.566666666666666,1846.663063,7.3,2274.573170731708,Other,0.0
820801005,28.14060438155065,29.945967407679,29.945967407679,Other,Single Family,774.0,Sant Esteve Sesrovires,Sant Esteve Sesrovires,Baix Llobregat,41.48274373,1.878338731,1,07 Peripheral Areas,71252.0,8.9,1959.924324,8.1,2814.2560975609754,Other,0.0
820901001,14.746871873836447,17.00583516877709,17.00583516877709,Other,Multi-Family,872.0,Sant Fost de Campsentelles,Sant Fost de Campsentelles,Valles Occidental,41.503223,2.204848506,1,07 Peripheral Areas,64635.0,7.6,1524.108108,6.3,1642.09756097561,Other,0.0
820901002,18.84941655404919,20.68807279621387,20.68807279621387,Other,,0.0,Sant Fost de Campsentelles,Sant Fost de Campsentelles,Valles Occidental,41.50325812,2.204784748,1,07 Peripheral Areas,52815.0,8.4,1786.248649,7.6,2491.3170731707314,Other,0.0
820901003,30.565976244102384,26.68250857581072,30.565976244102384,Other,,0.0,Sant Fost de Campsentelles,Sant Fost de Campsentelles,Valles Oriental,41.51409286,2.240491099,1,07 Peripheral Areas,69353.0,7.5,1493.308108,6.6,1829.219512195122,Other,0.0
820901004,30.031332447368964,24.13076232366372,30.031332447368964,Other,Multi-Family,352.0,Sant Fost de Campsentelles,Sant Fost de Campsentelles,Barcelones,41.49185619,2.2316595,1,07 Peripheral Areas,63965.0,10.666666666666666,2675.3873873333337,7.8,2610.146341463415,Other,0.0
821001001,20.186251524013585,12.27465991240224,20.186251524013585,Other,Multi-Family,29.0,Sant Feliu de Codines,Sant Feliu de Codines,Valles Oriental,41.69670001,2.177407286,1,07 Peripheral Areas,50492.0,7.7,1555.816216,5.1,1015.8536585365852,Other,0.0
